League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
USA USL Championship,2023-03-28 21:00:00,0,Tulsa Roughnecks,Pittsburgh Riverhounds,2.25,3.25,2.75,0.0,0.0,0.0,0.0,1.67,2.1,1.32,3.09,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.29,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador Primera Categoría Serie B,2023-03-28 21:00:00,3,Manta FC,América de Quito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia Categoria Primera A,2023-03-28 22:15:00,10,Boyacá Chicó,La Equidad,1.86,2.97,4.45,1.1,5.8,1.5,2.45,2.43,1.48,1.54,2.35,2.2,1.6,1.12,1.33,2.05,2.6,0.5,1.64,1.12,2.76,1.9,6.75,2.28,1.45,1.82,2.4,0.0,0.0
Japan J2 League,2023-03-29 07:00:00,6,Shimizu S-Pulse,ThespaKusatsu Gunma,1.55,3.45,5.5,1.09,6.5,1.5,2.45,2.2,1.6,1.56,2.31,2.05,1.72,1.25,1.3,1.62,1.0,0.5,1.92,1.54,3.46,0.0,0.0,0.0,0.0,1.43,1.67,2.05,2.6
Japan J2 League,2023-03-29 07:00:00,6,Jubilo Iwata,Tochigi,1.85,2.95,4.0,1.07,7.5,1.42,2.5,2.35,1.53,1.44,2.45,1.9,1.71,1.29,1.32,1.6,1.33,0.0,1.43,0.57,2.0,0.0,0.0,0.0,1.5,1.85,2.38,0.0,0.0
Turkey 1. Lig,2023-03-29 07:30:00,29,Bandırmaspor,BB Bodrumspor,3.0,3.2,2.15,1.0,10.25,1.22,3.65,1.72,1.93,1.35,3.04,1.62,2.23,1.62,1.28,1.35,1.75,1.46,1.45,1.35,2.8,0.0,0.0,0.0,1.61,2.01,0.0,0.0,0.0
Turkey 1. Lig,2023-03-29 10:00:00,29,Gençlerbirliği,Adanaspor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.62,1.35,1.3,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey 1. Lig,2023-03-29 10:00:00,29,Rizespor,Manisa BBSK,1.75,3.3,4.2,1.01,9.3,1.26,3.34,1.89,1.89,1.38,2.9,1.76,2.01,1.21,1.26,1.92,2.08,1.62,1.59,1.42,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia 2. SNL,2023-03-29 11:00:00,22,Fužinar,Rogaška,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.6,1.8,1.92,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey 1. Lig,2023-03-29 13:00:00,29,Göztepe,Yeni Malatyaspor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.71,1.63,1.59,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland League Two,2023-03-29 15:45:00,28,Dumbarton,Forfar Athletic,1.84,3.4,3.2,1.03,15.0,1.22,4.0,1.67,2.1,1.33,3.15,1.65,2.15,1.2,1.2,1.9,2.23,1.29,1.27,1.14,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England EFL League One,2023-03-29 15:45:00,26,Cheltenham Town,Sheffield Wednesday,4.9,3.65,1.61,1.04,12.0,1.25,3.5,2.0,1.66,1.38,2.9,1.78,1.95,2.0,1.24,1.2,1.39,1.89,1.41,1.57,2.98,2.6,7.0,1.75,1.32,1.58,2.02,2.7,3.8
Ecuador Primera Categoría Serie B,2023-03-29 17:00:00,3,Guayaquil,Imbabura SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.36,1.49,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador Primera Categoría Serie B,2023-03-29 17:00:00,3,Vargas Torres,Macará,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.08,1.51,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia Categoria Primera B,2023-03-29 19:00:00,3,Barranquilla,Valledupar,2.68,3.08,2.57,1.05,7.2,1.4,2.64,2.3,1.6,1.48,2.47,2.0,1.78,1.44,1.34,1.41,0.25,1.0,1.4,1.17,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
