League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Australia A-League,2022-12-24 03:00:00,9,Sydney FC,Macarthur,1.69,3.55,4.4,1.0,11.0,1.14,4.7,1.65,2.03,1.29,3.5,1.62,2.25,1.15,1.21,2.39,1.0,1.25,2.05,1.42,3.47,1.34,10.0,3.84,0.0,0.0,1.55,1.85,2.25
Turkey Süper Lig,2022-12-24 07:30:00,15,Hatayspor,Giresunspor,2.19,3.2,3.2,1.0,10.0,1.23,3.8,1.72,1.97,1.33,3.0,1.65,2.1,1.34,1.27,1.7,1.33,1.14,1.53,1.29,2.82,1.73,8.0,2.4,1.24,1.55,1.85,2.3,3.3
Scotland Premiership,2022-12-24 09:30:00,18,Celtic,St. Johnstone,1.13,7.0,10.5,1.0,23.0,1.12,5.75,1.36,2.82,1.2,4.33,2.63,1.44,1.04,1.03,7.0,3.0,1.44,2.57,1.28,3.85,1.05,18.0,15.0,1.17,1.3,1.56,1.95,2.55
Scotland Premiership,2022-12-24 09:30:00,18,St. Mirren,Aberdeen,2.77,3.21,2.73,1.08,7.0,1.4,2.75,2.09,1.66,1.5,2.5,1.95,1.8,1.5,1.28,1.47,2.0,0.88,1.31,1.41,2.72,1.71,7.5,2.6,0.0,1.24,1.44,1.75,2.23
Egypt Egyptian Premier League,2022-12-24 09:45:00,9,Aswan FC,ENPPI,2.2,2.94,2.89,1.05,7.1,1.35,2.84,2.19,1.68,1.49,2.44,1.85,1.91,1.32,1.34,1.54,1.0,0.75,1.36,1.2,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey Süper Lig,2022-12-24 10:00:00,15,Kasımpaşa,Sivasspor,2.27,3.47,3.34,1.03,10.65,1.25,3.82,1.76,1.92,1.36,3.0,1.67,2.1,1.38,1.28,1.62,1.0,0.5,1.76,1.24,3.0,1.67,8.0,2.6,1.24,1.55,1.85,2.3,3.3
Scotland Premiership,2022-12-24 11:00:00,18,Dundee United,Hearts,2.93,3.72,2.39,1.06,8.0,1.3,3.4,1.99,1.73,1.36,3.0,1.7,2.05,1.6,1.3,1.39,1.13,1.0,1.48,1.17,2.65,2.18,7.5,1.97,0.0,1.3,1.55,1.93,2.5
Scotland Premiership,2022-12-24 11:00:00,18,Hibernian,Livingston,2.04,3.3,3.1,1.08,7.0,1.36,3.0,2.05,1.66,1.44,2.63,2.0,1.75,1.31,1.31,1.68,1.75,1.0,1.92,1.08,3.0,1.34,8.5,4.1,1.18,1.34,1.61,2.02,2.7
Egypt Egyptian Premier League,2022-12-24 12:00:00,9,Ghazl El Mehalla,Pharco,2.5,2.7,2.87,1.12,5.0,1.6,2.2,2.74,1.34,1.69,2.04,2.25,1.57,1.28,1.42,1.5,2.25,0.5,1.56,1.28,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2022-12-24 12:00:00,9,Haras El Hodood,National Bank of Egypt,2.6,2.65,2.8,1.13,4.74,1.67,2.1,2.91,1.3,1.72,2.0,2.32,1.58,1.32,1.38,1.36,0.5,0.5,0.93,1.09,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey Süper Lig,2022-12-24 13:00:00,15,Trabzonspor,Fenerbahçe,2.76,3.15,2.51,1.05,13.0,1.25,3.82,1.71,1.98,1.33,3.25,1.62,2.2,1.53,1.29,1.44,2.0,2.0,2.11,1.67,3.78,2.05,7.5,2.0,1.29,1.62,2.0,2.5,3.75
Egypt Egyptian Premier League,2022-12-24 14:00:00,9,Coca-Cola,El Geish,1.82,3.14,4.05,1.04,7.5,1.39,2.6,2.24,1.51,1.49,2.37,2.1,1.68,1.13,1.29,1.9,2.5,0.25,1.41,1.17,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
