League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
China Chinese Super League,2022-12-15 04:00:00,31,Beijing Guoan,Changchun Yatai,1.9,3.5,3.9,0.0,0.0,0.0,0.0,2.16,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.62,1.81,1.44,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China Chinese Super League,2022-12-15 08:00:00,31,Shijiazhuang Ever Bright,Henan Jianye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.53,1.08,1.56,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China Chinese Super League,2022-12-15 08:30:00,31,Guangzhou Evergrande,Shandong Luneng,10.0,5.9,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,1.93,1.14,2.08,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China Chinese Super League,2022-12-15 08:30:00,31,Hangzhou,Chengdu Better City FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,1.88,1.64,1.54,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China Chinese Super League,2022-12-15 08:30:00,31,Meizhou Hakka,Shanghai SIPG,3.95,3.6,1.83,0.0,0.0,0.0,0.0,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,1.6,1.72,1.6,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China Chinese Super League,2022-12-15 09:00:00,31,Hebei CFFC,Shenzhen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.08,0.71,1.35,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2022-12-15 09:45:00,7,Aswan FC,Ceramica Cleopatra,3.24,2.91,2.05,1.05,7.2,1.39,2.67,2.25,1.57,1.5,2.5,2.0,1.73,1.45,1.3,1.36,1.0,1.0,1.36,1.52,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2022-12-15 12:00:00,7,El Daklyeh FC,Smouha SC,3.6,2.81,1.97,1.08,6.15,1.56,2.32,2.6,1.44,1.55,2.25,2.2,1.58,1.68,1.35,1.26,0.33,1.33,0.97,1.1,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2022-12-15 12:00:00,7,Al Ittihad,Pharco,2.41,2.76,3.74,1.12,5.75,1.52,2.38,2.6,1.44,1.58,2.23,2.1,1.67,1.19,1.42,1.64,2.0,0.67,1.97,1.17,3.14,1.57,7.7,2.95,0.0,1.64,2.03,2.67,0.0
Egypt Egyptian Premier League,2022-12-15 14:00:00,7,Al Mokawloon,ENPPI,2.31,2.81,3.9,1.12,6.0,1.53,2.33,2.75,1.4,1.6,2.2,2.1,1.68,1.25,1.46,1.58,1.67,1.0,1.59,1.1,2.69,1.6,7.7,2.86,0.0,1.51,1.92,2.48,0.0
Romania Liga I,2022-12-15 15:00:00,9,FCSB,CFR Cluj,2.48,3.18,2.89,1.1,8.0,1.46,2.75,2.18,1.53,1.48,2.48,2.02,1.74,1.38,1.35,1.52,2.11,1.89,2.11,1.44,3.55,1.62,7.5,2.92,1.51,1.92,2.58,3.56,4.6
Netherlands Eerste Divisie,2022-12-15 16:00:00,18,PSV II,Ajax II,2.15,3.75,3.0,1.02,12.0,1.15,4.75,1.53,2.38,1.25,3.75,1.5,2.5,1.38,1.22,1.72,1.5,1.13,1.26,1.74,3.0,1.95,7.5,2.27,1.31,1.65,2.05,2.32,3.74
Scotland Premiership,2022-12-15 17:00:00,17,Rangers,Hibernian,1.31,5.56,9.42,1.03,11.0,1.2,4.33,1.57,2.25,1.29,3.5,1.95,1.8,1.07,1.17,3.3,2.75,0.75,2.69,1.91,4.6,1.3,10.0,4.42,0.0,1.25,1.45,1.88,2.2
