League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Australia A-League,2023-01-07 03:00:00,11,Sydney FC,Wellington Phoenix,1.95,3.6,3.6,1.02,15.0,1.2,4.0,1.72,2.1,1.33,3.0,1.6,2.15,1.26,1.27,1.83,0.8,0.67,1.94,1.63,3.57,1.44,6.0,3.05,1.16,1.29,1.59,1.95,2.37
Australia A-League,2023-01-07 03:00:00,11,Central Coast Mariners,Adelaide United,2.15,3.6,3.1,1.02,12.0,1.17,4.5,1.57,2.4,1.29,3.4,1.47,2.45,1.38,1.27,1.63,1.71,1.0,1.87,1.84,3.71,1.6,6.0,2.55,0.0,1.21,1.38,1.6,1.95
Australia A-League,2023-01-07 05:45:00,11,Melbourne City FC,Western United,1.67,3.8,5.0,1.02,17.0,1.2,4.0,1.68,2.15,1.3,3.2,1.7,2.0,1.17,1.21,2.25,2.5,0.75,2.04,1.32,3.36,1.25,7.25,4.55,1.15,1.3,1.56,1.98,2.34
Portugal LigaPro,2023-01-07 08:00:00,15,Academico Viseu,Porto II,2.25,3.25,2.75,1.06,8.0,1.33,3.2,1.9,1.95,1.4,2.75,1.8,1.91,1.37,1.28,1.56,1.57,1.57,1.82,1.7,3.52,1.64,6.0,2.5,0.0,1.29,1.5,1.85,2.43
England EFL League Two,2023-01-07 09:30:00,26,Salford City,Northampton Town,2.2,3.4,3.2,1.07,7.0,1.38,2.8,2.1,1.72,1.5,2.5,1.91,1.8,1.53,1.37,1.47,1.18,2.0,1.47,1.38,2.85,2.1,8.0,2.0,1.27,1.5,2.0,2.5,3.5
Wales Welsh Premier League,2023-01-07 09:45:00,6,Penybont,Caernarfon Town,1.75,3.7,3.85,1.01,13.5,1.16,4.32,1.58,2.13,1.29,3.2,1.53,2.3,1.43,1.24,1.48,1.89,0.5,1.61,1.29,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2023-01-07 09:45:00,12,Pyramids FC,Ghazl El Mehalla,1.3,4.6,9.0,1.01,11.0,1.25,3.45,1.81,1.89,1.3,2.93,2.15,1.58,1.02,1.12,2.9,2.6,1.6,1.68,1.03,2.71,1.21,12.5,5.2,0.0,1.39,1.77,2.2,2.85
Turkey Süper Lig,2023-01-07 10:00:00,18,Hatayspor,Antalyaspor,2.6,3.4,2.6,1.05,9.0,1.29,3.5,1.85,2.0,1.36,3.0,1.67,2.1,1.44,1.3,1.5,1.29,1.0,1.55,1.39,2.94,2.25,8.0,1.83,1.37,1.62,2.0,2.5,3.7
Italy Serie A,2023-01-07 11:00:00,17,Fiorentina,Sassuolo,1.75,3.75,4.33,1.04,10.0,1.25,3.8,1.83,2.07,1.33,3.25,1.75,2.0,1.2,1.25,2.05,1.5,0.63,2.2,1.68,3.88,1.36,9.0,3.6,1.4,1.67,2.1,2.63,3.4
Portugal LigaPro,2023-01-07 11:00:00,15,Farense,CD Nacional,1.62,3.75,4.33,1.06,8.0,1.28,3.5,1.8,2.05,1.36,3.0,1.83,1.83,1.14,1.24,2.14,2.14,1.33,1.86,1.29,3.15,1.25,7.75,4.45,0.0,0.0,1.4,1.72,2.15
Wales Welsh Premier League,2023-01-07 11:30:00,6,Airbus UK,Cardiff MU,10.0,6.0,1.22,1.01,13.0,1.18,4.15,1.34,2.81,1.29,3.24,1.61,2.15,1.99,1.21,1.18,0.11,1.3,1.03,1.07,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wales Welsh Premier League,2023-01-07 11:30:00,6,Bala Town,Pontypridd Town AFC,1.5,4.25,4.75,1.01,15.0,1.12,4.95,1.44,2.65,1.23,3.7,1.54,2.28,1.14,1.17,2.24,2.22,0.56,1.32,1.09,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wales Welsh Premier League,2023-01-07 11:30:00,6,Newtown,Connah's Quay,2.4,3.6,2.4,1.01,13.5,1.16,4.4,1.68,2.1,1.27,3.34,1.5,2.38,1.39,1.23,1.54,1.6,1.63,1.29,1.65,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wales Welsh Premier League,2023-01-07 11:30:00,6,The New Saints,Haverfordwest County,1.17,7.0,9.0,1.0,18.0,1.08,5.85,1.4,2.88,1.19,4.2,1.81,1.87,1.0,1.07,3.96,3.0,0.7,2.62,1.25,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland Premiership,2023-01-07 12:00:00,21,Aberdeen,St. Johnstone,2.1,3.25,3.5,1.06,10.5,1.34,3.22,2.1,1.72,1.39,2.75,1.95,1.8,1.21,1.28,2.01,1.9,1.3,1.47,1.22,2.69,1.51,8.5,3.07,1.25,1.4,1.67,2.1,2.75
Scotland Premiership,2023-01-07 12:00:00,21,Celtic,Kilmarnock,1.08,10.0,26.0,1.02,17.0,1.07,8.0,1.28,3.75,1.17,5.0,2.38,1.53,1.01,1.01,6.5,3.0,0.2,2.62,1.12,3.74,1.04,15.0,14.5,1.17,1.32,1.55,1.92,2.45
Scotland Premiership,2023-01-07 12:00:00,21,Ross County,Livingston,2.6,3.1,2.7,1.07,9.5,1.36,3.1,2.05,1.75,1.44,2.6,1.83,1.95,1.47,1.3,1.5,0.8,0.89,1.13,1.03,2.16,1.95,8.0,2.1,1.18,1.46,1.55,1.92,2.45
Scotland Premiership,2023-01-07 12:00:00,21,St. Mirren,Hearts,3.5,3.1,2.15,1.05,11.0,1.3,3.5,2.1,1.72,1.37,2.85,1.7,2.1,1.55,1.25,1.44,2.1,1.2,1.38,1.28,2.66,1.95,8.5,2.1,0.0,1.26,1.55,1.92,2.45
Belgium Pro League,2023-01-07 12:00:00,19,AS Eupen,Sporting Charleroi,2.63,3.5,2.38,1.03,13.0,1.22,3.8,1.62,2.25,1.33,3.25,1.62,2.2,1.53,1.25,1.47,1.13,1.13,1.83,1.25,3.08,1.8,8.0,2.38,1.2,1.43,1.67,2.05,2.6
England EFL League One,2023-01-07 12:00:00,26,Cambridge United,Bristol Rovers,2.7,3.4,2.5,1.05,10.0,1.35,3.2,2.05,1.75,1.39,2.75,1.83,1.95,1.62,1.25,1.38,1.42,1.25,1.3,1.21,2.51,2.2,8.5,1.83,1.18,1.34,1.55,1.95,2.25
England EFL League One,2023-01-07 12:00:00,26,Charlton Athletic,Lincoln City,1.91,3.5,4.0,1.06,10.0,1.36,3.2,2.05,1.75,1.4,2.75,1.87,1.87,1.25,1.25,1.85,1.42,1.18,1.52,0.86,2.38,1.59,8.5,2.78,1.18,1.34,1.65,2.0,2.5
England EFL League One,2023-01-07 12:00:00,38,Bolton Wanderers,Plymouth Argyle,2.2,3.4,3.2,1.04,12.0,1.28,3.6,1.88,1.98,1.36,2.95,1.75,2.05,1.3,1.25,1.83,2.0,1.67,1.54,1.4,2.94,1.55,8.5,3.01,1.18,1.43,1.7,2.1,2.63
England EFL League One,2023-01-07 12:00:00,43,Morecambe,Cheltenham Town,2.5,3.25,2.8,1.06,9.5,1.36,3.1,2.03,1.83,1.42,2.65,1.85,1.9,1.45,1.28,1.52,1.17,1.0,1.33,1.01,2.34,1.95,8.0,2.05,1.25,1.43,1.67,2.05,2.6
England EFL League Two,2023-01-07 12:00:00,26,Gillingham,Crewe Alexandra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.0,1.2,0.92,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England EFL League Two,2023-01-07 12:00:00,26,Harrogate Town,Colchester United,2.1,3.4,3.4,1.05,8.0,1.33,3.0,2.05,1.75,1.44,2.63,1.83,1.83,1.34,1.34,1.75,1.36,0.33,1.56,0.85,2.41,1.95,8.0,2.1,1.24,1.45,1.83,2.35,3.2
England EFL League Two,2023-01-07 12:00:00,26,Leyton Orient,Doncaster Rovers,1.67,3.5,5.5,1.05,8.0,1.33,3.0,2.2,1.65,1.44,2.63,2.0,1.73,1.2,1.3,2.18,2.42,1.25,1.61,1.18,2.79,1.45,8.5,3.28,1.3,1.57,2.0,2.7,3.75
England EFL League Two,2023-01-07 12:00:00,26,Mansfield Town,Barrow,1.91,3.4,4.0,1.07,7.0,1.38,2.8,2.1,1.72,1.44,2.63,1.91,1.8,1.25,1.33,1.95,1.73,1.0,1.53,1.45,2.98,1.55,8.5,2.91,1.26,1.48,1.95,2.43,3.35
England EFL League Two,2023-01-07 12:00:00,26,Rochdale,Newport County,2.6,3.2,2.7,1.07,7.0,1.38,2.8,2.15,1.7,1.44,2.63,1.83,1.83,1.63,1.36,1.4,0.64,1.18,1.27,1.16,2.43,1.95,7.5,2.1,1.3,1.57,2.0,2.7,3.75
England EFL League Two,2023-01-07 12:00:00,26,Tranmere Rovers,Sutton United,2.3,3.2,3.1,1.08,6.5,1.43,2.63,2.3,1.62,1.5,2.5,1.91,1.8,1.33,1.36,1.73,1.55,0.75,1.42,1.19,2.61,1.82,8.0,2.33,1.21,1.4,1.72,2.2,3.0
England EFL League Two,2023-01-07 12:00:00,43,Crewe Alexandra,AFC Wimbledon,2.4,3.2,3.0,1.08,7.0,1.36,3.0,2.14,1.64,1.44,2.63,1.83,1.83,1.44,1.33,1.44,1.5,1.23,1.21,1.1,2.31,1.82,8.0,2.33,1.24,1.45,1.8,2.35,3.2
Spain Segunda División,2023-01-07 12:15:00,22,FC Andorra,Real Oviedo,2.1,3.2,3.8,1.1,5.95,1.55,2.3,2.57,1.4,1.62,2.2,2.38,1.53,1.27,1.37,1.65,1.6,1.0,1.93,1.18,3.11,1.55,8.0,3.02,1.3,1.57,2.0,2.4,0.0
