League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
7489,2023-04-18 22:05:00,17,Venados,Cancún,1.87,3.2,3.96,1.04,7.9,1.36,3.0,2.1,1.7,1.45,2.6,1.9,1.85,1.2,1.25,1.72,1.89,0.63,1.33,1.23,2.56,0.0,0.0,0.0,0.0,0.0,1.8,2.22,0.0
Colombia Categoria Primera A,2023-04-18 22:10:00,14,Jaguares de Córdoba,La Equidad,2.5,2.9,2.65,1.09,8.0,1.45,2.7,2.2,1.53,1.5,2.5,2.0,1.73,1.33,1.31,1.41,1.57,0.5,1.65,1.05,2.7,1.84,8.4,2.36,1.39,1.72,2.19,2.93,0.0
7489,2023-04-19 00:05:00,17,Cimarrones de Sonora,Morelia,2.02,3.2,3.46,1.05,9.0,1.28,3.5,1.95,1.8,1.41,2.7,1.8,1.95,1.22,1.25,1.65,1.78,1.0,1.45,1.11,2.56,0.0,0.0,0.0,0.0,1.68,2.08,0.0,0.0
Ukraine Ukrainian Premier League,2023-04-19 07:00:00,10,Inhulets,Rukh Vynnyky,2.35,3.0,2.8,1.06,10.0,1.35,3.0,2.2,1.6,1.45,2.6,1.89,1.87,1.51,1.33,1.45,1.2,0.89,1.15,1.23,2.38,1.92,7.4,2.23,1.25,1.51,1.9,2.4,3.2
South Korea K League 2,2023-04-19 07:00:00,8,Gimpo Citizen,Busan I'Park,2.8,2.9,2.4,1.08,7.0,1.4,2.8,2.15,1.57,1.51,2.4,1.9,1.83,1.3,1.3,1.53,1.67,1.67,1.45,1.84,3.29,2.37,8.0,1.79,1.51,1.85,2.33,3.2,0.0
South Korea K League 2,2023-04-19 07:30:00,8,Sangju Sangmu,Jeonnam Dragons,2.1,3.0,3.25,1.07,7.5,1.36,3.0,2.05,1.61,1.45,2.6,1.83,1.9,1.32,1.28,1.65,1.5,3.0,2.15,1.95,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea K League 2,2023-04-19 07:30:00,8,Cheonan City,Ansan Greeners,3.0,3.0,2.2,1.08,7.0,1.36,2.95,2.1,1.6,1.48,2.5,1.85,1.9,1.5,1.28,1.28,0.0,0.0,1.13,1.74,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey Süper Lig,2023-04-19 11:00:00,30,İstanbulspor,Antalyaspor,2.71,3.35,2.32,1.02,10.0,1.22,3.8,1.77,1.87,1.35,3.33,1.67,2.1,1.58,1.3,1.42,1.08,0.69,1.22,1.22,2.44,2.55,8.0,1.73,1.29,1.57,1.91,2.4,3.3
Turkey Süper Lig,2023-04-19 11:00:00,30,Kayserispor,Kasımpaşa,2.29,3.4,2.78,1.02,10.0,1.18,4.05,1.74,1.94,1.35,2.9,1.63,2.1,1.39,1.3,1.55,1.79,0.85,1.64,1.26,2.9,1.67,8.0,2.38,1.16,1.36,1.65,2.0,2.5
Finland Veikkausliiga,2023-04-19 12:00:00,3,KuPS,Honka,2.1,3.0,3.4,1.07,8.0,1.34,3.0,2.1,1.6,1.42,2.65,1.85,1.83,1.27,1.32,1.73,0.0,0.0,2.23,0.76,2.99,1.72,8.0,2.66,1.16,1.31,1.61,1.97,2.45
Finland Veikkausliiga,2023-04-19 12:00:00,3,HJK,VPS,1.4,4.2,7.5,1.04,10.5,1.24,3.7,1.8,1.83,1.34,3.0,1.8,1.88,1.15,1.23,2.3,3.0,0.0,1.36,0.0,1.36,1.26,12.0,4.9,1.2,1.38,1.73,2.15,2.8
Turkey Süper Lig,2023-04-19 13:00:00,30,Beşiktaş,Hatayspor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.5,2.27,1.37,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway Eliteserien,2023-04-19 13:30:00,1,Lillestrøm,Strømsgodset,1.57,4.0,4.33,1.03,17.0,1.2,4.5,1.53,2.35,1.3,3.4,1.7,2.05,1.17,1.15,2.25,0.0,0.0,0.0,0.0,0.0,1.45,9.5,3.2,1.09,1.21,1.41,1.71,2.11
Netherlands Eredivisie,2023-04-19 13:45:00,25,Go Ahead Eagles,RKC Waalwijk,2.0,3.5,3.4,1.04,12.0,1.26,3.67,1.75,1.95,1.38,3.0,1.7,2.15,1.33,1.26,1.75,1.31,0.85,1.47,1.31,2.78,1.71,8.0,2.45,1.22,1.34,1.56,1.89,2.35
Turkey Süper Lig,2023-04-19 14:30:00,30,İstanbul Başakşehir,Fenerbahçe,3.9,3.75,1.8,1.04,14.0,1.24,4.08,1.75,1.95,1.33,3.24,1.68,2.1,1.9,1.28,1.25,2.15,2.23,1.69,1.86,3.55,2.88,8.0,1.57,1.43,1.85,2.45,3.4,5.0
Turkey Süper Lig,2023-04-19 14:30:00,30,Konyaspor,Adana Demirspor,2.62,3.35,2.38,1.04,10.5,1.22,3.9,1.74,1.9,1.35,2.95,1.6,2.2,1.46,1.3,1.49,1.29,1.21,1.69,1.75,3.44,1.73,8.0,2.4,1.26,1.55,1.85,2.3,3.3
England Championship,2023-04-19 15:45:00,43,Blackburn Rovers,Coventry City,2.37,3.2,3.1,1.07,9.0,1.38,3.1,2.15,1.61,1.46,2.5,1.85,1.82,1.36,1.33,1.57,2.05,1.33,1.4,1.43,2.83,1.98,9.2,2.11,1.16,1.33,1.65,2.0,2.5
