League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Australia A-League,2022-12-11 01:00:00,7,Central Coast Mariners,Newcastle Jets FC,1.85,4.0,3.85,1.03,12.0,1.15,4.7,1.57,2.25,1.3,3.4,1.57,2.25,1.18,1.25,1.95,1.0,0.0,2.04,0.99,3.03,1.54,8.5,3.18,0.0,1.23,1.46,1.8,2.28
Australia A-League,2022-12-11 03:00:00,7,Macarthur,Melbourne Victory FC,3.7,3.85,1.93,1.01,11.0,1.22,3.8,1.65,2.1,1.33,3.25,1.62,2.2,1.87,1.22,1.28,1.5,1.33,1.32,1.84,3.16,2.65,8.2,1.72,0.0,1.23,1.46,1.79,2.26
Netherlands Eerste Divisie,2022-12-11 08:15:00,17,Willem II,NAC Breda,1.86,3.58,3.65,1.05,9.0,1.29,3.5,1.75,2.0,1.36,3.0,1.73,2.0,1.17,1.27,1.9,1.57,0.88,1.75,1.21,2.96,0.0,0.0,0.0,1.27,1.5,1.87,2.45,3.4
Italy Serie B,2022-12-11 08:30:00,17,Cagliari,Perugia,1.87,3.3,4.2,1.09,6.5,1.38,2.75,2.2,1.61,1.44,2.55,1.93,1.75,1.2,1.33,1.83,1.5,0.63,1.71,1.47,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia PrvaLiga,2022-12-11 09:00:00,20,Tabor Sežana,Olimpija,4.6,3.6,1.7,1.06,8.0,1.3,3.4,1.85,1.85,1.36,3.0,1.8,1.91,2.05,1.29,1.15,0.78,2.11,1.63,1.83,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium First Division B,2022-12-11 09:30:00,17,RWDM,Excelsior Virton,1.25,5.0,8.0,1.03,11.0,1.19,4.57,1.58,2.3,1.3,3.4,2.01,1.78,1.04,1.15,3.4,2.13,0.75,1.68,1.24,2.92,1.17,11.25,6.65,1.27,1.47,1.9,2.36,3.4
Romania Liga I,2022-12-11 09:30:00,20,Universitatea Cluj,UTA Arad,2.45,2.9,3.0,0.0,0.0,1.54,2.43,2.55,1.45,1.57,2.25,2.2,1.62,0.0,0.0,0.0,1.33,0.56,1.74,1.24,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2022-12-11 09:45:00,4,Ghazl El Mehalla,El Daklyeh FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.83,1.14,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England EFL League Two,2022-12-11 10:00:00,21,Gillingham,Bradford City,3.25,3.1,2.3,1.1,6.5,1.44,2.62,2.33,1.54,1.53,2.38,2.0,1.73,1.62,1.36,1.3,1.0,1.9,1.23,1.19,2.42,2.16,7.6,2.03,1.34,1.63,2.1,2.85,4.0
Spain Segunda División,2022-12-11 10:00:00,20,UD Ibiza,Málaga CF,2.1,3.0,3.3,1.13,5.5,1.5,2.4,2.51,1.42,1.57,2.25,2.15,1.61,1.28,1.38,1.62,0.89,0.5,1.31,1.33,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England Championship,2022-12-11 10:00:00,22,Queens Park Rangers,Burnley,3.05,3.4,2.19,1.06,10.0,1.33,3.4,2.01,1.86,1.4,2.75,1.73,2.0,1.55,1.32,1.38,1.7,1.6,1.81,1.44,3.25,1.97,7.5,2.18,1.17,1.29,1.56,1.94,2.5
Netherlands Eerste Divisie,2022-12-11 10:30:00,17,Almere City,ADO Den Haag,1.79,3.62,3.93,1.04,10.0,1.22,4.0,1.62,2.15,1.33,3.25,1.62,2.2,1.25,1.2,2.0,2.0,1.0,1.55,1.6,3.15,1.65,8.1,2.79,0.0,1.29,1.5,1.87,2.43
Netherlands Eerste Divisie,2022-12-11 10:30:00,17,De Graafschap,Eindhoven,2.14,3.4,3.07,1.05,9.0,1.25,3.75,1.7,2.05,1.33,3.25,1.62,2.2,1.36,1.25,1.68,1.75,1.38,1.85,1.28,3.13,1.64,8.0,2.84,1.18,1.34,1.61,2.02,2.7
Netherlands Eerste Divisie,2022-12-11 10:30:00,17,Ajax II,Utrecht II,1.49,4.47,5.15,1.02,13.0,1.14,5.0,1.44,2.7,1.25,3.75,1.57,2.25,1.14,1.19,2.45,1.5,0.13,1.43,1.25,2.68,0.0,0.0,0.0,1.22,1.42,1.74,2.23,3.0
