League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Australia A-League,2022-12-26 04:00:00,9,Western United,Melbourne Victory FC,3.0,3.2,2.21,1.02,9.5,1.2,3.9,1.92,1.98,1.34,3.0,1.65,2.2,1.61,1.31,1.36,1.0,1.75,2.02,1.79,3.81,2.25,5.5,1.76,1.14,1.26,1.53,1.79,2.19
Italy Serie B,2022-12-26 08:30:00,19,Brescia,Palermo,2.01,3.15,3.75,1.1,6.5,1.44,2.65,2.08,1.6,1.5,2.5,2.0,1.75,1.29,1.34,1.65,1.67,1.0,1.36,1.39,2.75,1.66,5.5,2.45,1.3,1.67,2.09,2.37,3.7
England Championship,2022-12-26 09:00:00,24,Watford,Millwall,1.94,3.25,3.6,1.08,8.5,1.4,3.0,2.22,1.54,1.44,2.63,1.91,1.8,1.26,1.28,1.83,1.82,0.82,1.55,1.38,2.93,1.75,8.0,2.52,1.24,1.46,1.82,2.4,3.3
Belgium Pro League,2022-12-26 09:30:00,18,Club Brugge,OH Leuven,1.4,4.46,6.18,1.02,12.0,1.15,5.5,1.43,2.51,1.25,3.75,1.7,2.05,1.11,1.17,2.8,2.22,1.33,2.08,1.43,3.51,1.29,10.0,4.32,1.17,1.31,1.65,2.0,2.5
England Championship,2022-12-26 09:30:00,24,Sunderland,Blackburn Rovers,2.42,3.05,2.77,1.07,9.5,1.4,3.0,2.1,1.61,1.44,2.63,1.83,1.83,1.38,1.3,1.63,1.18,1.25,1.48,0.95,2.43,1.82,8.0,2.33,1.29,1.5,1.8,2.25,3.3
England Premier League,2022-12-26 09:30:00,17,Brentford,Tottenham Hotspur,3.54,3.4,1.82,1.04,10.0,1.25,3.8,1.92,1.98,1.33,3.25,1.67,2.1,1.85,1.28,1.25,1.71,1.57,1.45,1.5,2.95,2.5,7.8,1.75,1.2,1.39,1.64,2.05,2.65
Italy Serie B,2022-12-26 11:00:00,19,Ascoli,Reggina,2.68,2.96,2.71,1.1,6.5,1.45,2.65,2.11,1.58,1.53,2.38,2.0,1.75,1.44,1.37,1.42,1.11,1.78,1.34,1.68,3.02,2.0,5.5,2.0,1.3,1.6,1.96,2.44,3.3
Italy Serie B,2022-12-26 11:00:00,19,Benevento,Perugia,2.01,3.1,3.85,1.1,6.5,1.42,2.75,2.18,1.55,1.5,2.5,2.0,1.75,1.18,1.28,1.83,1.0,0.56,1.41,1.48,2.89,1.51,6.0,2.8,1.21,1.37,1.75,2.14,2.95
Italy Serie B,2022-12-26 11:00:00,19,Cagliari,Cosenza,1.55,3.8,5.8,0.0,0.0,0.0,0.0,2.09,1.81,1.4,2.75,2.0,1.75,0.0,0.0,0.0,1.67,0.67,1.83,1.17,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy Serie B,2022-12-26 11:00:00,19,Como,Cittadella,2.5,2.99,2.9,1.1,6.5,1.42,2.75,2.11,1.58,1.5,2.5,1.95,1.8,1.3,1.4,1.57,1.33,1.0,1.59,1.37,2.96,1.95,5.5,2.05,1.26,1.55,1.88,2.33,3.34
Italy Serie B,2022-12-26 11:00:00,19,SPAL,Pisa,2.79,3.05,2.54,1.1,7.55,1.4,2.89,2.08,1.6,1.5,2.5,1.95,1.8,1.36,1.3,1.47,1.22,1.0,1.54,1.4,2.94,1.76,5.5,2.3,1.21,1.37,1.75,2.16,2.95
Italy Serie B,2022-12-26 11:00:00,19,Südtirol,Modena,2.35,3.0,3.1,1.08,7.0,1.4,2.8,2.08,1.6,1.5,2.5,1.95,1.8,1.25,1.28,1.65,1.33,1.11,1.39,1.46,2.85,1.83,5.25,2.2,1.32,1.67,2.04,2.85,3.6
Italy Serie B,2022-12-26 11:00:00,19,Venezia,Parma,2.67,3.0,2.69,1.08,7.0,1.36,2.95,2.03,1.63,1.44,2.63,1.91,1.91,1.5,1.3,1.38,0.78,1.25,1.56,1.85,3.41,2.6,6.0,1.58,1.19,1.35,1.69,2.07,2.8
Wales Welsh Premier League,2022-12-26 11:30:00,20,Aberystwyth Town,Newtown,3.45,3.4,1.78,1.04,10.0,1.19,4.0,1.61,2.07,1.3,3.14,1.59,2.18,1.8,1.23,1.24,1.88,1.44,1.02,1.38,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wales Welsh Premier League,2022-12-26 11:30:00,20,Caernarfon Town,Bala Town,4.46,3.83,1.52,1.02,12.0,1.13,4.8,1.47,2.36,1.24,3.6,1.58,2.2,2.3,1.17,1.12,2.0,1.63,1.46,1.79,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wales Welsh Premier League,2022-12-26 11:30:00,20,Connah's Quay,Flint Town United,1.29,5.0,7.0,1.02,13.0,1.13,4.9,1.44,2.43,1.23,3.7,1.84,1.84,1.06,1.1,2.55,2.6,1.0,1.64,1.19,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wales Welsh Premier League,2022-12-26 11:30:00,20,Penybont,Cardiff MU,2.24,3.2,2.78,1.06,8.0,1.28,3.5,1.94,1.88,1.4,2.75,1.73,2.0,1.25,1.25,1.62,2.0,1.11,1.6,1.01,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wales Welsh Premier League,2022-12-26 11:30:00,20,Pontypridd Town AFC,Haverfordwest County,2.81,3.2,2.21,1.04,10.0,1.19,3.95,1.64,2.02,1.3,3.14,1.57,2.22,1.65,1.24,1.31,1.0,0.78,1.32,1.25,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wales Welsh Premier League,2022-12-26 11:30:00,20,The New Saints,Airbus UK,1.03,17.0,26.0,1.01,81.0,1.03,11.0,1.14,5.5,1.11,6.5,2.75,1.4,1.01,1.01,4.1,3.0,0.0,2.6,0.89,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium Pro League,2022-12-26 12:00:00,18,Union Saint-Gilloise,KV Oostende,1.26,5.22,8.68,1.02,13.0,1.14,5.5,1.42,2.53,1.25,3.75,1.75,2.0,1.08,1.16,3.1,2.13,0.56,1.77,1.38,3.15,1.4,9.0,3.5,1.2,1.48,1.61,1.96,2.46
England EFL League One,2022-12-26 12:00:00,23,Accrington Stanley,Barnsley,3.2,3.25,2.08,1.05,10.0,1.33,3.25,2.04,1.84,1.4,2.75,1.8,1.95,1.68,1.25,1.33,1.0,1.7,1.58,1.27,2.85,2.05,5.75,1.9,1.19,1.37,1.66,2.1,2.87
