League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Chile Primera División,2023-01-27 21:00:00,2,Unión La Calera,Everton,2.2,3.1,3.0,1.07,9.0,1.38,3.0,1.91,1.8,1.44,2.55,1.85,1.83,1.39,1.32,1.53,0.0,0.0,0.0,0.0,0.0,2.05,7.5,2.05,1.32,1.58,2.02,2.7,3.8
8595,2023-01-27 21:30:00,1,Defensa y Justicia,Huracán,2.84,2.88,2.75,1.1,7.0,1.5,2.5,2.45,1.48,1.57,2.25,2.05,1.7,1.44,1.37,1.42,0.0,0.0,0.0,0.0,0.0,1.89,7.0,2.3,1.2,1.41,1.75,2.19,2.93
Australia A-League,2023-01-27 23:00:00,14,Wellington Phoenix,Perth Glory FC,1.8,3.6,4.0,1.04,12.0,1.3,3.5,1.93,1.93,1.36,2.9,1.83,1.95,1.17,1.26,1.89,1.5,0.43,1.66,1.17,2.83,1.44,9.6,3.44,1.13,1.28,1.55,1.95,2.25
Australia A-League,2023-01-28 03:00:00,14,Macarthur,Western United,2.25,3.4,2.8,1.04,13.75,1.23,4.05,1.76,2.07,1.34,3.14,1.59,2.22,1.44,1.3,1.63,1.5,0.6,1.56,1.32,2.88,1.87,8.2,2.32,1.08,1.18,1.43,1.7,2.1
Australia A-League,2023-01-28 05:45:00,14,Central Coast Mariners,Western Sydney Wanderers,1.95,3.4,3.5,1.04,12.0,1.25,3.75,1.85,2.0,1.36,3.04,1.68,2.15,1.27,1.27,1.86,1.88,1.29,1.98,1.61,3.59,1.64,8.3,2.8,1.09,1.21,1.43,1.74,2.18
Turkey Süper Lig,2023-01-28 07:30:00,21,Sivasspor,Adana Demirspor,2.7,3.4,2.5,1.04,10.0,1.22,4.0,1.72,2.12,1.33,3.25,1.6,2.35,1.55,1.33,1.53,0.89,1.3,1.69,1.8,3.49,1.83,8.0,2.25,1.26,1.57,1.91,2.4,3.4
Germany 2. Bundesliga,2023-01-28 09:00:00,18,Darmstadt 98,Jahn Regensburg,1.62,3.9,4.75,1.04,10.0,1.22,4.0,1.68,2.12,1.33,3.25,1.73,2.0,1.16,1.22,2.3,2.11,0.75,1.72,1.47,3.19,1.41,9.0,3.56,1.25,1.55,1.85,2.3,3.4
Germany 2. Bundesliga,2023-01-28 09:00:00,18,Heidenheim,Hansa Rostock,1.83,3.6,3.75,1.06,8.0,1.3,3.3,1.83,2.03,1.4,2.75,1.83,1.83,1.21,1.28,1.95,2.5,1.38,1.74,1.23,2.97,1.41,9.5,3.56,1.18,1.3,1.65,2.0,2.5
Germany 2. Bundesliga,2023-01-28 09:00:00,18,Holstein Kiel,Greuther Fürth,2.2,3.5,2.9,1.04,10.0,1.22,4.0,1.73,2.05,1.33,3.25,1.62,2.2,1.37,1.3,1.6,1.5,0.75,1.8,1.2,3.0,1.82,8.0,2.39,1.2,1.48,1.73,2.1,2.7
England EFL League One,2023-01-28 09:30:00,29,Charlton Athletic,Bolton Wanderers,2.4,3.2,3.0,1.05,11.0,1.3,3.5,1.98,1.88,1.38,2.85,1.7,2.1,1.42,1.28,1.57,1.64,1.23,1.51,1.34,2.85,2.43,7.5,1.81,1.22,1.43,1.8,2.3,3.2
Romania Liga I,2023-01-28 09:30:00,23,UTA Arad,Mioveni,1.83,3.1,4.5,1.1,6.0,1.49,2.46,2.55,1.49,1.54,2.36,2.1,1.68,1.16,1.28,1.85,1.18,0.45,1.66,1.29,2.95,1.36,6.25,3.65,1.4,1.83,2.23,3.1,4.4
Germany 3. Liga,2023-01-28 10:00:00,20,Erzgebirge Aue,Freiburg II,2.53,3.08,2.27,1.06,8.0,1.33,3.2,1.8,1.75,1.41,2.7,1.75,1.93,1.37,1.32,1.57,1.0,1.56,1.7,1.21,2.91,0.0,0.0,0.0,1.22,1.48,1.73,2.1,2.7
Germany 3. Liga,2023-01-28 10:00:00,20,MSV Duisburg,Osnabrück,2.52,3.11,2.27,1.05,9.0,1.22,4.0,1.76,2.06,1.34,2.95,1.6,2.15,1.52,1.3,1.44,1.11,0.9,1.57,1.6,3.17,0.0,0.0,0.0,0.0,1.27,1.5,1.83,2.25
Germany 3. Liga,2023-01-28 10:00:00,20,Meppen,VfB Oldenburg,2.16,3.15,2.63,1.04,10.0,1.25,3.75,1.68,2.1,1.34,3.0,1.62,2.15,1.3,1.29,1.72,0.8,1.11,1.64,1.09,2.73,0.0,0.0,0.0,1.22,1.48,1.73,2.1,2.7
Germany 3. Liga,2023-01-28 10:00:00,20,Hallescher FC,Zwickau,2.17,3.16,2.62,1.03,8.4,1.29,3.22,1.7,1.85,1.41,2.7,1.73,1.95,1.4,1.33,1.53,1.4,0.6,1.63,1.42,3.05,0.0,0.0,0.0,0.0,1.27,1.5,1.83,2.25
Germany 3. Liga,2023-01-28 10:00:00,20,Verl,Saarbrucken,2.6,3.57,2.57,1.05,9.0,1.25,3.75,1.8,1.92,1.35,2.95,1.65,2.15,1.57,1.22,1.42,1.7,2.0,1.65,1.43,3.08,0.0,0.0,0.0,1.18,1.34,1.65,2.0,2.5
Germany 3. Liga,2023-01-28 10:00:00,20,Bayreuth,Ingolstadt,4.2,3.6,1.75,1.05,9.0,1.25,3.75,1.78,2.03,1.36,2.9,1.68,2.0,1.9,1.29,1.22,1.22,1.7,1.33,1.7,3.03,0.0,0.0,0.0,1.27,1.53,1.9,2.3,3.4
Spain La Liga,2023-01-28 10:00:00,19,Cádiz,RCD Mallorca,2.7,3.0,2.75,1.14,5.5,1.6,2.35,2.28,1.51,1.67,2.1,2.25,1.57,1.43,1.49,1.44,0.89,1.22,1.35,1.06,2.41,1.9,7.5,2.2,1.47,1.79,2.25,2.95,4.1
Turkey Süper Lig,2023-01-28 10:00:00,21,Hatayspor,Trabzonspor,4.0,3.5,1.91,1.04,10.0,1.25,3.75,1.78,2.04,1.33,3.25,1.65,2.05,2.0,1.26,1.21,1.25,1.22,1.55,1.88,3.43,2.88,8.5,1.53,1.26,1.57,1.91,2.4,3.5
Turkey Süper Lig,2023-01-28 10:00:00,21,Ankaragücü,Gazişehir Gaziantep,2.1,3.4,3.25,1.01,9.8,1.26,3.62,1.83,1.98,1.38,3.04,1.78,2.04,1.25,1.29,2.02,1.22,0.9,1.53,1.34,2.87,1.5,8.5,3.0,1.26,1.57,1.91,2.4,3.5
Italy Serie B,2023-01-28 10:00:00,22,Ascoli,Palermo,2.25,3.2,3.0,1.08,9.05,1.4,2.8,2.28,1.6,1.49,2.45,1.9,1.83,1.3,1.28,1.57,1.0,1.0,1.31,1.36,2.67,2.0,5.5,2.0,1.34,1.63,2.1,2.87,4.1
Italy Serie B,2023-01-28 10:00:00,22,Bari 1908,Perugia,1.95,3.3,3.75,1.08,8.75,1.42,2.9,2.3,1.58,1.47,2.45,1.9,1.8,1.3,1.35,1.72,1.4,0.73,1.87,1.56,3.43,1.76,5.75,2.3,1.22,1.42,1.8,2.3,3.1
Italy Serie B,2023-01-28 10:00:00,22,Brescia,Como,1.95,3.25,3.6,1.07,9.4,1.38,3.08,2.07,1.72,1.44,2.55,1.88,1.82,1.32,1.35,1.65,1.45,0.7,1.29,1.42,2.71,1.35,6.5,3.65,1.21,1.4,1.71,2.2,3.0
Italy Serie B,2023-01-28 10:00:00,22,Cosenza,Parma,3.4,3.25,2.1,1.07,9.9,1.36,3.18,2.12,1.68,1.45,2.6,1.88,1.82,1.8,1.32,1.27,1.2,1.1,1.3,1.8,3.1,3.15,6.0,1.46,1.21,1.4,1.71,2.2,3.0
Italy Serie B,2023-01-28 10:00:00,22,Südtirol,Reggina,2.73,2.93,2.37,1.1,7.65,1.47,2.7,2.2,1.62,1.5,2.37,2.0,1.7,1.52,1.38,1.4,1.36,1.9,1.4,1.61,3.01,2.45,5.75,1.68,1.34,1.63,2.1,2.87,4.2
Italy Serie B,2023-01-28 10:00:00,22,Ternana,Modena,2.13,3.07,2.98,1.06,8.75,1.3,3.2,2.09,1.74,1.4,2.7,1.75,2.0,1.35,1.32,1.65,1.8,1.18,1.59,1.42,3.01,2.05,5.5,2.0,1.21,1.4,1.71,2.2,3.0
Italy Serie B,2023-01-28 10:00:00,22,Venezia,Cittadella,2.05,3.2,3.4,1.09,8.5,1.42,2.89,2.45,1.52,1.47,2.5,1.95,1.78,1.35,1.35,1.6,0.73,1.09,1.5,1.44,2.94,2.0,5.5,2.05,1.22,1.42,1.8,2.3,3.1
Poland Ekstraklasa,2023-01-28 11:00:00,18,Warta Poznań,Raków Częstochowa,5.17,3.96,1.46,1.05,8.5,1.35,3.0,1.88,1.73,1.44,2.63,2.0,1.75,2.0,1.22,1.18,0.75,2.0,1.58,1.97,3.55,3.75,6.25,1.36,1.25,1.48,2.0,2.39,3.28
Croatia Prva HNL,2023-01-28 11:00:00,19,Šibenik,Rijeka,3.6,3.25,1.91,0.0,0.0,0.0,0.0,2.1,1.7,0.0,0.0,1.91,1.8,0.0,0.0,0.0,0.67,1.22,1.37,1.43,2.8,2.4,5.25,1.76,0.0,0.0,0.0,0.0,0.0
France Ligue 2,2023-01-28 11:00:00,20,Saint-Étienne,Sochaux,2.2,3.3,3.2,1.08,7.0,1.33,3.1,2.05,1.8,1.4,2.75,1.8,1.91,1.32,1.31,1.65,1.33,1.11,1.68,1.53,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
