Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Argentina Primera División,2023,2023-01-27 19:15:00,1,Rosario Central,Argentinos Juniors,1,0,1,['19'],[],3.02,2.86,2.5,2.6,2.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Argentina Primera División,2023,2023-01-27 21:30:00,1,Defensa y Justicia,Huracán,2,4,6,"['45+3', '49']","['7', '43', '82', '86']",2.84,2.88,2.75,2.45,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Argentina Primera División,2023,2023-01-28 17:00:00,1,San Lorenzo,Arsenal de Sarandí,1,0,1,['57'],[],1.97,3.0,4.0,2.59,2.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Argentina Primera División,2023,2023-01-28 19:15:00,1,Talleres Córdoba,Independiente,0,1,1,[],['52'],2.2,2.92,3.4,2.45,2.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Argentina Primera División,2023,2023-01-28 19:15:00,1,Estudiantes,Tigre,1,2,3,['57'],"['42', '74']",2.3,3.02,3.08,2.2,1.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,Argentina Primera División,2023,2023-01-28 21:30:00,1,Central Córdoba SdE,River Plate,0,2,2,[],"['45', '69']",4.48,3.47,1.73,1.82,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Argentina Primera División,2023,2023-01-29 17:00:00,1,Platense,Newell's Old Boys,2,2,4,"['27', '62']","['11', '65']",2.4,2.87,3.07,2.44,2.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Argentina Primera División,2023,2023-01-29 19:15:00,1,Instituto,Sarmiento,0,0,0,[],[],2.26,2.93,3.27,2.39,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Argentina Primera División,2023,2023-01-29 19:15:00,1,Colón,Lanús,1,2,3,['85'],"['12', '72']",2.4,2.96,2.97,2.2,1.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,Argentina Primera División,2023,2023-01-29 19:15:00,1,Racing Club,Belgrano,0,0,0,[],[],1.6,3.52,5.5,2.2,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Argentina Primera División,2023,2023-01-29 21:30:00,1,Boca Juniors,Atlético Tucumán,1,0,1,['69'],[],1.75,3.26,5.29,2.5,2.38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Argentina Primera División,2023,2023-01-30 17:00:00,1,Barracas Central,Godoy Cruz,0,1,1,[],['25'],2.75,3.12,2.64,2.2,1.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Argentina Primera División,2023,2023-01-30 20:00:00,1,Vélez Sarsfield,Gimnasia La Plata,3,1,4,"['26', '54', '57']",['67'],1.95,3.01,3.76,2.39,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Argentina Primera División,2023,2023-01-30 20:00:00,1,Banfield,Unión Santa Fe,0,0,0,[],[],2.24,3.0,3.5,2.42,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Argentina Primera División,2023,2023-02-03 20:00:00,2,Tigre,Rosario Central,2,2,4,"['17', '52']","['14', '90+7']",1.73,3.5,4.8,2.05,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,Argentina Primera División,2023,2023-02-03 20:00:00,2,Newell's Old Boys,Vélez Sarsfield,1,0,1,['69'],[],2.6,3.0,2.88,2.5,2.09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Argentina Primera División,2023,2023-02-04 17:00:00,2,Arsenal de Sarandí,Estudiantes,1,1,2,['17'],['9'],3.2,3.1,0.0,2.35,1.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,Argentina Primera División,2023,2023-02-04 17:00:00,2,Sarmiento,Barracas Central,3,5,8,"['37', '53', '75']","['1', '6', '48', '62', '81']",2.13,3.2,3.4,2.38,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Argentina Primera División,2023,2023-02-04 19:15:00,2,Belgrano,River Plate,2,1,3,"['38', '67']",['81'],3.9,3.4,1.89,2.2,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,Argentina Primera División,2023,2023-02-04 21:30:00,2,Lanús,San Lorenzo,2,1,3,"['21', '27']",['90+3'],2.62,2.8,3.0,2.63,2.15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,Argentina Primera División,2023,2023-02-04 21:30:00,2,Argentinos Juniors,Racing Club,1,0,1,['74'],[],2.45,3.0,3.0,2.25,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Argentina Primera División,2023,2023-02-05 17:00:00,2,Independiente,Platense,1,2,3,['74'],"['20', '68']",1.96,2.97,3.79,2.65,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,Argentina Primera División,2023,2023-02-05 19:15:00,2,Boca Juniors,Central Córdoba SdE,0,0,0,[],[],1.51,4.1,6.75,2.0,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Argentina Primera División,2023,2023-02-05 21:30:00,2,Godoy Cruz,Colón,1,0,1,['86'],[],2.1,3.2,3.5,2.05,1.88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Argentina Primera División,2023,2023-02-05 21:30:00,2,Atlético Tucumán,Talleres Córdoba,0,2,2,[],"['71', '85']",2.23,2.98,3.07,2.4,2.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Argentina Primera División,2023,2023-02-05 21:30:00,2,Unión Santa Fe,Instituto,0,2,2,[],"['42', '45']",2.38,3.0,3.25,2.45,2.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Argentina Primera División,2023,2023-02-06 18:00:00,2,Gimnasia La Plata,Defensa y Justicia,0,2,2,[],"['64', '68']",2.28,2.97,2.98,2.35,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Argentina Primera División,2023,2023-02-06 21:30:00,2,Huracán,Banfield,3,2,5,"['3', '41', '45+5']","['22', '75']",1.75,3.27,5.18,2.37,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,Argentina Primera División,2023,2023-02-10 21:30:00,3,Colón,Sarmiento,0,2,2,[],"['3', '85']",2.15,3.0,3.3,2.25,1.91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Argentina Primera División,2023,2023-02-10 21:30:00,3,Central Córdoba SdE,Belgrano,0,1,1,[],['86'],2.5,2.9,2.8,2.5,2.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Argentina Primera División,2023,2023-02-11 17:00:00,3,San Lorenzo,Godoy Cruz,1,0,1,['55'],[],2.2,3.1,3.4,2.5,2.05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina Primera División,2023,2023-02-11 17:00:00,3,Defensa y Justicia,Newell's Old Boys,1,0,1,['28'],[],2.38,2.9,3.0,2.5,2.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Argentina Primera División,2023,2023-02-11 19:15:00,3,Platense,Atlético Tucumán,1,1,2,['17'],['63'],2.92,3.07,2.67,2.4,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,Argentina Primera División,2023,2023-02-11 21:30:00,3,Talleres Córdoba,Boca Juniors,2,1,3,"['28', '52']",['83'],2.89,2.87,2.53,2.53,2.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,Argentina Primera División,2023,2023-02-11 21:30:00,3,Vélez Sarsfield,Independiente,0,0,0,[],[],2.1,3.2,3.75,2.55,2.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
