Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,USA MLS,2023,2023-02-25 18:30:00,0,Nashville SC,New York City,2,0,2,"['34', '80']",[],2.45,3.48,2.74,1.86,1.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,USA MLS,2023,2023-02-25 21:30:00,0,Atlanta United FC,SJ Earthquakes,2,1,3,"['90+3', '90+9']",['12'],1.61,4.2,5.05,1.6,1.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,USA MLS,2023,2023-02-25 21:30:00,0,Charlotte,New England Revolution,0,1,1,[],['89'],2.06,3.72,3.3,1.6,1.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,USA MLS,2023,2023-02-25 21:30:00,0,FC Cincinnati,Houston Dynamo,2,1,3,"['19', '48']",['45+2'],1.69,4.14,4.48,1.53,1.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,USA MLS,2023,2023-02-25 21:30:00,0,DC United,Toronto,3,2,5,"['13', '90', '90+8']","['66', '83']",2.29,3.68,2.87,1.61,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,USA MLS,2023,2023-02-25 21:30:00,0,Inter Miami,Montreal Impact,2,0,2,"['41', '76']",[],2.53,3.56,2.62,1.75,1.62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,USA MLS,2023,2023-02-25 21:30:00,0,Orlando City,New York RB,1,0,1,['56'],[],2.33,3.4,3.0,1.99,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,USA MLS,2023,2023-02-25 21:30:00,0,Philadelphia Union,Columbus Crew,4,1,5,"['45+3', '52', '72', '80']",['28'],1.74,3.8,4.56,1.89,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,USA MLS,2023,2023-02-25 22:30:00,0,Austin,St. Louis City,2,3,5,"['45+4', '72']","['24', '78', '86']",1.53,4.2,5.8,1.66,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,USA MLS,2023,2023-02-25 22:30:00,0,FC Dallas,Minnesota United,0,1,1,[],['48'],1.97,3.74,3.54,1.7,1.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
