Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Argentina Prim B Nacional,2023,2023-02-03 21:10:00,1,Deportivo Morón,Almagro,0,1,1,[],['27'],2.05,2.76,3.78,3.15,2.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Argentina Prim B Nacional,2023,2023-02-03 21:30:00,1,Estudiantes Río Cuarto,San Martín Tucumán,0,1,1,[],['44'],3.32,2.77,2.21,3.04,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Argentina Prim B Nacional,2023,2023-02-04 17:00:00,1,Patronato,Guillermo Brown,0,0,0,[],[],1.71,3.32,6.1,2.68,2.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Argentina Prim B Nacional,2023,2023-02-04 17:00:00,1,All Boys,Nueva Chicago,1,1,2,['39'],['77'],1.79,3.03,5.36,2.65,2.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Argentina Prim B Nacional,2023,2023-02-04 20:45:00,1,Alvarado,San Martín San Juan,0,0,0,[],[],3.18,2.89,2.61,2.81,2.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Argentina Prim B Nacional,2023,2023-02-04 21:20:00,1,Defensores de Belgrano,Temperley,1,1,2,['70'],['57'],2.03,3.0,4.55,2.81,2.43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Argentina Prim B Nacional,2023,2023-02-05 17:00:00,1,Gimnasia Mendoza,Defensores Unidos,1,1,2,['32'],['84'],1.75,3.1,5.0,2.53,2.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Argentina Prim B Nacional,2023,2023-02-05 17:00:00,1,Almirante Brown,San Telmo,1,0,1,['4'],[],2.1,3.05,3.32,2.41,2.12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Argentina Prim B Nacional,2023,2023-02-05 18:00:00,1,Club Atlético Güemes,Agropecuario,0,1,1,[],['90+3'],2.15,2.7,3.9,3.09,2.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Argentina Prim B Nacional,2023,2023-02-10 19:10:00,1,Aldosivi,Independiente Rivadavia,1,2,3,['52'],"['24', '71']",2.04,3.2,3.96,2.47,2.18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,Argentina Prim B Nacional,2023,2023-02-10 21:00:00,1,Atlético Rafaela,Tristán Suárez,3,0,3,"['2', '46', '86']",[],1.78,3.48,4.86,2.36,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,Argentina Prim B Nacional,2023,2023-02-10 21:00:00,1,Gimnasia Jujuy,Ferro Carril Oeste,1,1,2,['32'],['64'],2.77,2.98,2.77,2.62,2.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,Argentina Prim B Nacional,2023,2023-02-10 21:10:00,1,Estudiantes Caseros,Atlanta,2,0,2,"['64', '77']",[],1.99,3.08,4.4,2.81,2.48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,Argentina Prim B Nacional,2023,2023-02-11 17:00:00,1,Deportivo Madryn,Chacarita Juniors,0,0,0,[],[],2.2,2.98,3.05,2.55,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Argentina Prim B Nacional,2023,2023-02-11 17:00:00,2,Flandria,Alvarado,0,0,0,[],[],2.35,2.84,2.92,2.73,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Argentina Prim B Nacional,2023,2023-02-11 17:00:00,1,Brown de Adrogué,Racing Córdoba,1,2,3,['36'],"['12', '56']",2.33,3.04,3.38,2.51,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Argentina Prim B Nacional,2023,2023-02-11 17:00:00,2,Temperley,Estudiantes Río Cuarto,2,0,2,"['17', '74']",[],2.69,2.65,2.69,2.81,2.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Argentina Prim B Nacional,2023,2023-02-11 17:00:00,2,San Telmo,Defensores de Belgrano,2,2,4,"['32', '73']","['5', '59']",2.86,2.94,2.33,2.65,2.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,Argentina Prim B Nacional,2023,2023-02-11 17:00:00,2,Almagro,Almirante Brown,0,1,1,[],['65'],2.02,2.94,3.5,2.56,2.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Argentina Prim B Nacional,2023,2023-02-11 17:00:00,1,Villa Dálmine,Club Atlético Mitre,0,0,0,[],[],2.48,3.04,3.1,2.38,2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Argentina Prim B Nacional,2023,2023-02-11 19:15:00,2,San Martín Tucumán,All Boys,2,1,3,"['65', '80']",['39'],1.86,2.77,4.15,2.62,2.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,Argentina Prim B Nacional,2023,2023-02-11 20:00:00,2,San Martín San Juan,Gimnasia Mendoza,0,1,1,[],['44'],2.56,2.8,2.56,2.62,2.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
