Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Colombia Categoria Primera B,2023,2023-02-02 21:40:00,1,Barranquilla,Real Cartagena,2,2,4,"['30', '67']","['47', '90+7']",2.14,2.99,3.15,2.19,1.95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,Colombia Categoria Primera B,2023,2023-02-03 18:00:00,1,Cúcuta Deportivo,Orsomarso,1,0,1,['77'],[],1.36,4.05,7.41,1.95,2.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Colombia Categoria Primera B,2023,2023-02-04 18:00:00,1,Cortuluá,Valledupar,1,0,1,['8'],[],1.63,4.04,4.58,1.7,1.65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Colombia Categoria Primera B,2023,2023-02-04 18:00:00,1,Patriotas Boyacá,Llaneros,1,0,1,['76'],[],2.14,3.14,3.4,2.5,1.87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Colombia Categoria Primera B,2023,2023-02-04 18:00:00,1,Atlético,Real Santander,1,1,2,['21'],['33'],2.68,3.03,2.93,2.1,1.88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Colombia Categoria Primera B,2023,2023-02-07 21:30:00,1,Leones,Universitario Popayán,1,1,2,['90+2'],['54'],1.58,4.03,5.96,1.96,1.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Colombia Categoria Primera B,2023,2023-02-09 18:00:00,2,Real Cartagena,Patriotas Boyacá,3,2,5,"['5', '7', '53']","['28', '77']",4.12,3.15,1.94,2.19,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,Colombia Categoria Primera B,2023,2023-02-11 17:00:00,2,Real Santander,Fortaleza CEIF,2,0,2,"['77', '83']",[],3.75,3.05,1.77,2.1,1.87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,Colombia Categoria Primera B,2023,2023-02-11 17:00:00,2,Valledupar,Cúcuta Deportivo,1,1,2,['19'],['42'],2.93,3.08,2.42,2.4,1.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Colombia Categoria Primera B,2023,2023-02-11 18:00:00,2,Orsomarso,Atlético,1,0,1,['75'],[],2.32,2.76,2.72,2.48,1.97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Colombia Categoria Primera B,2023,2023-02-12 18:00:00,2,Universitario Popayán,Bogotá,1,0,1,['6'],[],2.8,3.1,2.38,2.2,1.91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Colombia Categoria Primera B,2023,2023-02-13 17:00:00,2,Tigres,Barranquilla,1,0,1,['65'],[],1.8,3.15,4.05,2.25,2.09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Colombia Categoria Primera B,2023,2023-02-13 20:00:00,2,Llaneros,Cortuluá,1,3,4,['17'],"['40', '47', '63']",2.21,3.1,2.92,2.35,1.95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,Colombia Categoria Primera B,2023,2023-02-13 22:05:00,2,Deportes Quindío,Leones,0,3,3,[],"['54', '69', '87']",1.71,3.25,4.35,2.2,2.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Colombia Categoria Primera B,2023,2023-02-17 20:00:00,3,Fortaleza CEIF,Orsomarso,3,1,4,"['26', '76', '90+3']",['56'],1.32,4.9,8.4,1.9,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Colombia Categoria Primera B,2023,2023-02-18 18:00:00,3,Bogotá,Atlético,1,1,2,['45+2'],['32'],1.62,3.6,4.6,1.98,1.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Colombia Categoria Primera B,2023,2023-02-18 18:00:00,3,Cortuluá,Deportes Quindío,2,1,3,"['16', '32']",['20'],1.95,3.1,3.8,2.2,1.78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,Colombia Categoria Primera B,2023,2023-02-19 18:00:00,3,Cúcuta Deportivo,Tigres,1,0,1,['57'],[],1.95,3.15,3.78,2.29,2.03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Colombia Categoria Primera B,2023,2023-02-19 18:00:00,3,Universitario Popayán,Real Cartagena,2,0,2,"['69', '81']",[],2.08,3.08,3.28,2.2,1.88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,Colombia Categoria Primera B,2023,2023-02-20 20:00:00,3,Patriotas Boyacá,Real Santander,1,0,1,['64'],[],1.77,3.33,4.45,2.1,1.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Colombia Categoria Primera B,2023,2023-02-21 21:40:00,3,Leones,Llaneros,0,1,1,[],['36'],2.3,3.0,3.25,2.38,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Colombia Categoria Primera B,2023,2023-02-22 18:00:00,1,Bogotá,Deportes Quindío,0,0,0,[],[],3.1,3.05,2.17,2.13,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Colombia Categoria Primera B,2023,2023-02-24 20:00:00,4,Tigres,Cortuluá,3,0,3,"['11', '20', '62']",[],2.6,2.9,2.6,2.38,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,Colombia Categoria Primera B,2023,2023-02-25 16:00:00,4,Deportes Quindío,Fortaleza CEIF,1,0,1,['48'],[],2.4,3.4,2.75,2.25,1.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Colombia Categoria Primera B,2023,2023-02-25 18:00:00,4,Patriotas Boyacá,Bogotá,2,0,2,"['74', '90+1']",[],2.73,3.15,2.34,2.13,1.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
